datetime,perfect,climatology,ngboost,tabpfn
2023-07-10 23:00:00,0.0,0.0,0.0152179655402309,-0.0003138079894706
2023-07-11 00:00:00,0.0,0.0,7.446240293799191e-18,-9.86928322280018e-05
2023-07-11 01:00:00,0.0,0.0,0.016312213174681,-9.11369011936893e-05
2023-07-11 02:00:00,0.0,0.0,0.0327191710051702,-6.694840890992968e-05
2023-07-11 03:00:00,0.0,0.0,0.0483777562019795,1.8229364659597617e-05
2023-07-11 04:00:00,0.0,0.0,0.0632085845773248,0.0001360799323744
2023-07-11 05:00:00,0.0,0.0,0.0769578965458217,0.0002205616133159
2023-07-11 06:00:00,1.14688,0.8572531612903227,0.695559961109652,-0.5642708292702274
2023-07-11 07:00:00,7.86432,6.608301419354841,5.593332991600386,-4.316766097050345
2023-07-11 08:00:00,16.26112,14.419769806451615,13.263385695999531,-9.2576800938676
2023-07-11 09:00:00,24.49408,21.884795870967743,21.310372017434496,-12.97639183677301
2023-07-11 10:00:00,31.5392,28.568146580645163,29.008023704735944,-13.93701236964178
2023-07-11 11:00:00,36.49536,33.93681341935485,35.65082372054064,-11.387510608969386
2023-07-11 12:00:00,39.60832,37.059550967741934,38.94169180727968,-5.484561838057
2023-07-11 13:00:00,40.1408,37.8274849032258,39.335683874253704,2.1688856675523627
2023-07-11 14:00:00,38.58432,36.420574967741935,36.897822839080085,9.810919151790529
2023-07-11 15:00:00,34.28352,32.489207741935495,31.852238438196768,15.65515761827692
2023-07-11 16:00:00,27.93472,26.498213161290327,24.61221616826135,17.880881437120557
2023-07-11 17:00:00,20.11136,18.5826270967742,16.212345732233004,15.787391390855012
2023-07-11 18:00:00,11.6736,10.624495483870968,8.253901786662848,10.58188504606582
2023-07-11 19:00:00,3.76832,3.3481496774193547,2.262316591272272,3.7086284322095326
2023-07-11 20:00:00,0.0,0.0,0.0726896289072946,-0.0008428837293976
2023-07-11 21:00:00,0.0,0.0,0.0402863577872701,-0.0005147892971119
2023-07-11 22:00:00,0.0,0.0,0.0272467417487053,-0.0003874209017505
2023-07-11 23:00:00,0.0,0.0,0.0144700491330767,7.790875079235294e-05
2023-07-12 00:00:00,0.0,0.0,4.902621508579486e-18,0.0001224201767645
2023-07-12 01:00:00,0.0,0.0,0.0108900967779325,1.023732281806205e-05
2023-07-12 02:00:00,0.0,0.0,0.0214392193801941,-3.845455125751015e-05
2023-07-12 03:00:00,0.0,0.0,0.035189310969841,1.42028472995897e-05
2023-07-12 04:00:00,0.0,0.0,0.0459770504727123,0.0001041739106448
2023-07-12 05:00:00,0.0,0.0,0.0559781098947488,0.0002069949928759
2023-07-12 06:00:00,1.06496,0.8572531612903227,0.6684958549660728,-0.5326298768201907
2023-07-12 07:00:00,7.70048,6.608301419354841,5.595645810312797,-4.315301407583902
2023-07-12 08:00:00,15.9744,14.419769806451615,13.306877115509904,-9.17034869541623
2023-07-12 09:00:00,24.12544,21.884795870967743,21.278111175198596,-12.774112591670676
2023-07-12 10:00:00,31.21152,28.568146580645163,28.845172979778734,-13.691187246148251
2023-07-12 11:00:00,36.94592,33.93681341935485,35.36323651869657,-11.271871585434925
2023-07-12 12:00:00,40.05888,37.059550967741934,39.17001750160726,-5.604222204134819
2023-07-12 13:00:00,40.67328,37.8274849032258,39.78558570374996,2.1191007011357694
2023-07-12 14:00:00,38.54336,36.420574967741935,37.46727036477531,9.887987696727937
2023-07-12 15:00:00,34.32448,32.489207741935495,31.845137530301628,15.477047921385486
2023-07-12 16:00:00,28.01664,26.498213161290327,24.65050069889924,17.770022934903956
2023-07-12 17:00:00,20.19328,18.5826270967742,16.141920704262507,15.72400918199006
2023-07-12 18:00:00,11.75552,10.624495483870968,8.482858177357121,10.565755124894132
2023-07-12 19:00:00,2.90816,3.3481496774193547,1.9591393796683896,2.9862263426025115
2023-07-12 20:00:00,0.0,0.0,0.0718589932393614,-0.0013975926865866
2023-07-12 21:00:00,0.0,0.0,0.0340579250238342,-0.0005589012748442
2023-07-12 22:00:00,0.0,0.0,0.0210185205664571,-0.0004292440974611
2023-07-12 23:00:00,0.0,0.0,0.0105999663858529,3.521598508383454e-05
2023-07-13 00:00:00,0.0,0.0,5.0723130678131876e-18,2.0449214609387566e-05
2023-07-13 01:00:00,0.0,0.0,0.0112774507264826,-2.3912670259929868e-05
2023-07-13 02:00:00,0.0,0.0,0.0228130206259017,-6.778096163058356e-05
2023-07-13 03:00:00,0.0,0.0,0.0337307675031317,1.898860830981445e-05
2023-07-13 04:00:00,0.0,0.0,0.0440713715964475,0.0001105472023972
2023-07-13 05:00:00,0.0,0.0,0.0536579023028554,0.0001537782148881
2023-07-13 06:00:00,1.10592,0.8572531612903227,0.6684958549660728,-0.5157189016369574
2023-07-13 07:00:00,7.82336,6.608301419354841,5.6028806518411285,-4.387033921597579
2023-07-13 08:00:00,16.1792,14.419769806451615,13.324658769947924,-9.340022424052908
2023-07-13 09:00:00,24.41216,21.884795870967743,21.27454913575643,-12.95585040227438
2023-07-13 10:00:00,31.49824,28.568146580645163,28.987330590635437,-13.903221080123656
2023-07-13 11:00:00,36.90496,33.93681341935485,35.531460741504624,-11.430423436043062
2023-07-13 12:00:00,40.05888,37.059550967741934,39.27418309969091,-5.657111681796815
2023-07-13 13:00:00,40.7552,37.8274849032258,39.73142669098442,2.043323956555104
2023-07-13 14:00:00,38.912,36.420574967741935,37.60752586500519,9.8559116051204
2023-07-13 15:00:00,34.6112,32.489207741935495,32.214854793603635,15.725064306779514
2023-07-13 16:00:00,28.30336,26.498213161290327,24.89457357695864,18.12532583238174
2023-07-13 17:00:00,20.52096,18.5826270967742,16.297864146157995,16.09673038351925
2023-07-13 18:00:00,12.00128,10.624495483870968,8.571611586836964,10.850593330848367
2023-07-13 19:00:00,3.97312,3.3481496774193547,2.380548417579196,3.854788680451954
2023-07-13 20:00:00,0.0,0.0,0.080475068549368,-0.001293496211694
2023-07-13 21:00:00,0.0,0.0,0.0340579250238342,-0.0006366635216201
2023-07-13 22:00:00,0.0,0.0,0.021018564407978,-0.0004482671637312
2023-07-13 23:00:00,0.0,0.0,0.0105999663858529,0.0002421365845528
2023-07-14 00:00:00,0.0,0.0,5.0723130678131876e-18,0.0002118232869824
2023-07-14 01:00:00,0.0,0.0,0.0113163980944849,4.109473593691288e-05
2023-07-14 02:00:00,0.0,0.0,0.0225500853197883,-4.440433134859339e-05
2023-07-14 03:00:00,0.0,0.0,0.0297181741270712,1.6858740618913284e-05
2023-07-14 04:00:00,0.0,0.0,0.0388286656981786,0.0001315865229466
2023-07-14 05:00:00,0.0,0.0,0.0472747880338502,0.000172430301698
2023-07-14 06:00:00,0.73728,0.8572531612903227,0.5584827392927255,-0.3908510745225896
2023-07-14 07:00:00,8.02816,6.608301419354841,5.589317868183736,-4.382705215231217
2023-07-14 08:00:00,16.54784,14.419769806451615,13.3463661460764,-9.597059215984364
2023-07-14 09:00:00,24.90368,21.884795870967743,21.381763518856733,-13.351052591421336
2023-07-14 10:00:00,32.07168,28.568146580645163,29.23953383893892,-14.240756707678322
2023-07-14 11:00:00,37.35552,33.93681341935485,35.67115118856962,-11.680677608266423
2023-07-14 12:00:00,40.46848,37.059550967741934,39.171374009905186,-5.810814186841734
2023-07-14 13:00:00,41.04192,37.8274849032258,39.66659947658124,1.9759876975384665
2023-07-14 14:00:00,38.42048,36.420574967741935,37.23530431135009,9.752085898543914
2023-07-14 15:00:00,34.11968,32.489207741935495,31.73340619906357,15.251581913351965
2023-07-14 16:00:00,27.77088,26.498213161290327,24.428124909160076,17.41111199508782
2023-07-14 17:00:00,19.94752,18.5826270967742,15.874957502398344,15.25083585600512
2023-07-14 18:00:00,11.50976,10.624495483870968,8.31423271670423,10.06196713743926
2023-07-14 19:00:00,3.6864,3.3481496774193547,2.156198925906292,3.3821009797144588
2023-07-14 20:00:00,0.0,0.0,0.0353095073688053,-0.0017842661546882
2023-07-14 21:00:00,0.0,0.0,0.0305681130471642,-0.0007838422998362
2023-07-14 22:00:00,0.0,0.0,0.021018564407978,-0.0003938695048365
2023-07-14 23:00:00,0.0,0.0,0.0105999663858529,0.0001459534997264
2023-07-15 00:00:00,0.0,0.0,5.102607631635932e-18,0.0001736796299598
