,0
DNI,0.3639606270188688
DHI,0.30183194808151337
dayofyear,0.11390612580401464
cos_hour,0.0802305892482461
Temperature,0.05685039304943821
Relative Humidity,0.03654154211711019
zenith_norm,0.034801618059837745
Wind Speed,0.006183530218319549
sin_hour,0.005659594091331755
is_clear,3.403231131955027e-05
