datetime,timestamp,WindPower_climatology,demand_mw,power_mw,solar_power_mw,battery_soc,grid_fallback,renewables_used
2023-12-10 19:00:00,2023-12-10 19:00:00,14557.585733887534,10.122441356784682,0.014557585733887534,0.014557585733887534,0.0,10.107883771050794,0.01455758573388799
2023-12-10 20:00:00,2023-12-10 20:00:00,17604.20383925688,9.536284968636295,0.017604203839256878,0.017604203839256878,0.0,9.518680764797038,0.017604203839256982
2023-12-10 21:00:00,2023-12-10 21:00:00,20939.648866147112,9.629420009793131,0.02093964886614711,0.02093964886614711,0.0,9.608480360926984,0.020939648866146854
2023-12-10 22:00:00,2023-12-10 22:00:00,24161.30808254516,9.367206167414215,0.02416130808254516,0.02416130808254516,0.0,9.34304485933167,0.024161308082545574
2023-12-10 23:00:00,2023-12-10 23:00:00,24678.736635049543,9.501331918538872,0.024678736635049544,0.024678736635049544,0.0,9.476653181903822,0.024678736635049603
2023-12-11 00:00:00,2023-12-11 00:00:00,24473.582878752142,9.956391127119492,0.02447358287875214,0.02447358287875214,0.0,9.93191754424074,0.0244735828787519
2023-12-11 01:00:00,2023-12-11 01:00:00,25589.96224575091,10.645430658310685,0.02558996224575091,0.02558996224575091,0.0,10.619840696064934,0.025589962245751607
2023-12-11 02:00:00,2023-12-11 02:00:00,25634.61620865439,9.293464143892377,0.02563461620865439,0.02563461620865439,0.0,9.267829527683723,0.025634616208654037
2023-12-11 03:00:00,2023-12-11 03:00:00,26085.548527391384,9.709918288866701,0.026085548527391384,0.026085548527391384,0.0,9.68383274033931,0.026085548527390756
2023-12-11 04:00:00,2023-12-11 04:00:00,25690.66087037179,9.546907021981424,0.02569066087037179,0.02569066087037179,0.0,9.521216361111051,0.02569066087037264
2023-12-11 05:00:00,2023-12-11 05:00:00,24934.75470865696,9.029166839220206,0.02493475470865696,0.02493475470865696,0.0,9.00423208451155,0.02493475470865647
2023-12-11 06:00:00,2023-12-11 06:00:00,24395.847418229525,9.251010100846006,0.024395847418229526,0.024395847418229526,0.0,9.226614253427776,0.024395847418229977
2023-12-11 07:00:00,2023-12-11 07:00:00,24501.93844813997,9.916189061738526,0.024501938448139967,0.024501938448139967,0.0,9.891687123290387,0.024501938448139526
