datetime,timestamp,GHI_climatology,demand_mw,power_mw,solar_power_mw,battery_soc,grid_fallback,renewables_used
2022-09-19 10:00:00,2022-09-19 10:00:00,662.7666666666667,10.201564560560179,0.21208533333333335,0.21208533333333335,0.0,9.989479227226846,0.21208533333333257
2022-09-19 11:00:00,2022-09-19 11:00:00,801.6,9.923487600599861,0.2565120000000001,0.2565120000000001,0.0,9.66697560059986,0.25651200000000074
2022-09-19 12:00:00,2022-09-19 12:00:00,870.6444444444444,10.186656403022427,0.27860622222222226,0.27860622222222226,0.0,9.908050180800204,0.27860622222222275
2022-09-19 13:00:00,2022-09-19 13:00:00,868.4777777777778,10.31757256956813,0.27791288888888893,0.27791288888888893,0.0,10.039659680679241,0.27791288888888843
2022-09-19 14:00:00,2022-09-19 14:00:00,800.9444444444445,9.593951616557053,0.25630222222222226,0.25630222222222226,0.0,9.33764939433483,0.25630222222222265
2022-09-19 15:00:00,2022-09-19 15:00:00,672.7777777777778,9.99239506674566,0.21528888888888892,0.21528888888888892,0.0,9.777106177856771,0.21528888888888886
2022-09-19 16:00:00,2022-09-19 16:00:00,506.5888888888889,10.254624125663907,0.16210844444444447,0.16210844444444447,0.0,10.092515681219464,0.16210844444444383
2022-09-19 17:00:00,2022-09-19 17:00:00,295.6333333333333,10.325747791244428,0.09460266666666667,0.09460266666666667,0.0,10.231145124577761,0.09460266666666683
2022-09-19 18:00:00,2022-09-19 18:00:00,95.54444444444444,10.642067411698251,0.03057422222222222,0.03057422222222222,0.0,10.611493189476029,0.030574222222222502
2022-09-19 19:00:00,2022-09-19 19:00:00,0.0,9.973070674668909,0.0,0.0,0.0,9.973070674668909,0.0
2022-09-19 20:00:00,2022-09-19 20:00:00,0.0,9.0211273332493,0.0,0.0,0.0,9.0211273332493,0.0
2022-09-19 21:00:00,2022-09-19 21:00:00,0.0,10.303249269909415,0.0,0.0,0.0,10.303249269909415,0.0
2022-09-19 22:00:00,2022-09-19 22:00:00,0.0,9.646229939921806,0.0,0.0,0.0,9.646229939921806,0.0
2022-09-19 23:00:00,2022-09-19 23:00:00,0.0,9.122813207174685,0.0,0.0,0.0,9.122813207174685,0.0
2022-09-20 00:00:00,2022-09-20 00:00:00,0.0,9.58109888146042,0.0,0.0,0.0,9.58109888146042,0.0
2022-09-20 01:00:00,2022-09-20 01:00:00,0.0,9.489005016579295,0.0,0.0,0.0,9.489005016579295,0.0
2022-09-20 02:00:00,2022-09-20 02:00:00,0.0,9.920833016254699,0.0,0.0,0.0,9.920833016254699,0.0
2022-09-20 03:00:00,2022-09-20 03:00:00,0.0,9.136334785637759,0.0,0.0,0.0,9.136334785637759,0.0
2022-09-20 04:00:00,2022-09-20 04:00:00,0.0,9.154638137128503,0.0,0.0,0.0,9.154638137128503,0.0
2022-09-20 05:00:00,2022-09-20 05:00:00,0.0,9.631954833525832,0.0,0.0,0.0,9.631954833525832,0.0
2022-09-20 06:00:00,2022-09-20 06:00:00,0.0,10.6407734382496,0.0,0.0,0.0,10.6407734382496,0.0
2022-09-20 07:00:00,2022-09-20 07:00:00,76.57777777777778,9.251452253124343,0.024504888888888892,0.024504888888888892,0.0,9.226947364235455,0.024504888888888132
2022-09-20 08:00:00,2022-09-20 08:00:00,278.1222222222222,9.96963150682241,0.08899911111111113,0.08899911111111113,0.0,9.880632395711299,0.0889991111111108
2022-09-20 09:00:00,2022-09-20 09:00:00,483.2111111111111,10.333538130539791,0.15462755555555557,0.15462755555555557,0.0,10.178910574984236,0.15462755555555496
2022-09-20 10:00:00,2022-09-20 10:00:00,662.7666666666667,10.066315629524011,0.21208533333333335,0.21208533333333335,0.0,9.854230296190678,0.21208533333333257
2022-09-20 11:00:00,2022-09-20 11:00:00,801.6,10.213885807614176,0.2565120000000001,0.2565120000000001,0.0,9.957373807614175,0.25651200000000074
2022-09-20 12:00:00,2022-09-20 12:00:00,870.6444444444444,10.642100597560226,0.27860622222222226,0.27860622222222226,0.0,10.363494375338004,0.27860622222222275
2022-09-20 13:00:00,2022-09-20 13:00:00,868.4777777777778,10.683764476687777,0.27791288888888893,0.27791288888888893,0.0,10.405851587798889,0.27791288888888843
2022-09-20 14:00:00,2022-09-20 14:00:00,800.9444444444445,10.292905203653705,0.25630222222222226,0.25630222222222226,0.0,10.036602981431482,0.25630222222222265
2022-09-20 15:00:00,2022-09-20 15:00:00,672.7777777777778,10.992075162908108,0.21528888888888892,0.21528888888888892,0.0,10.77678627401922,0.21528888888888886
2022-09-20 16:00:00,2022-09-20 16:00:00,506.5888888888889,10.452478131383387,0.16210844444444447,0.16210844444444447,0.0,10.290369686938943,0.16210844444444383
2022-09-20 17:00:00,2022-09-20 17:00:00,295.6333333333333,10.659019204966379,0.09460266666666667,0.09460266666666667,0.0,10.564416538299712,0.09460266666666683
