month,hour,GHI_climatology
8,9,517.8494623655914
8,10,687.9569892473119
8,11,822.1397849462365
8,12,887.2096774193549
8,13,914.7849462365591
8,14,863.0806451612904
8,15,751.3817204301075
8,16,593.4354838709677
8,17,395.48387096774195
8,18,197.33870967741936
8,19,31.817204301075268
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,74.75
9,8,271.2
9,9,473.0888888888889
9,10,651.6555555555556
9,11,781.2722222222222
9,12,842.5555555555555
9,13,844.3555555555556
9,14,781.2055555555555
9,15,654.9277777777778
9,16,483.89444444444445
9,17,289.77222222222224
9,18,91.92222222222222
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,25.317204301075268
10,8,203.50537634408602
10,9,404.6182795698925
10,10,577.6881720430108
10,11,695.4784946236559
10,12,759.7150537634409
10,13,750.5537634408602
10,14,680.7204301075269
10,15,537.2903225806451
10,16,360.505376344086
10,17,162.252688172043
10,18,9.71505376344086
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,111.38333333333334
11,9,295.2055555555556
11,10,457.2111111111111
11,11,570.8055555555555
11,12,622.2222222222222
11,13,621.2055555555555
11,14,542.0888888888888
11,15,416.15555555555557
11,16,246.67777777777778
11,17,75.08333333333333
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,41.456989247311824
12,9,191.13440860215053
12,10,350.4193548387097
12,11,455.7903225806452
12,12,513.9354838709677
12,13,518.6236559139785
12,14,457.994623655914
12,15,347.89247311827955
12,16,209.70967741935485
12,17,60.24193548387097
12,18,0.0
12,19,0.0
12,20,0.0
12,21,0.0
12,22,0.0
12,23,0.0
