month,hour,GHI_climatology
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,30.161290322580644
1,9,187.3494623655914
1,10,351.258064516129
1,11,478.31720430107526
1,12,551.0376344086021
1,13,564.3279569892474
1,14,509.60752688172045
1,15,406.3225806451613
1,16,271.6182795698925
1,17,115.22043010752688
1,18,1.2311827956989247
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,80.37869822485207
2,9,273.396449704142
2,10,465.1301775147929
2,11,600.2189349112426
2,12,692.4437869822485
2,13,706.3668639053254
2,14,672.9881656804733
2,15,558.4497041420118
2,16,396.1715976331361
2,17,210.1360946745562
2,18,41.22485207100592
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,21.010752688172044
3,8,188.1505376344086
3,9,396.44086021505376
3,10,587.3763440860215
3,11,714.4408602150538
3,12,817.3870967741935
3,13,832.0698924731183
3,14,778.3870967741935
3,15,642.2849462365591
3,16,475.51612903225805
3,17,291.01075268817203
3,18,100.28494623655914
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.3111111111111111
4,7,119.58888888888889
4,8,330.9611111111111
4,9,546.6111111111111
4,10,737.4222222222222
4,11,876.2888888888889
4,12,956.2055555555555
4,13,960.4611111111111
4,14,897.8111111111111
4,15,771.4666666666667
4,16,598.2222222222222
4,17,388.03333333333336
4,18,175.63888888888889
4,19,10.5
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,29.059139784946236
5,7,203.54301075268816
5,8,419.78494623655916
5,9,631.1182795698925
5,10,811.5430107526881
5,11,939.489247311828
5,12,1008.0806451612904
5,13,1016.8279569892474
5,14,950.8494623655914
5,15,822.5752688172043
5,16,659.6182795698925
5,17,453.3763440860215
5,18,241.08064516129033
5,19,52.17741935483871
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,44.05555555555556
6,7,219.89444444444445
6,8,431.53333333333336
6,9,628.1166666666667
6,10,800.1
6,11,927.7888888888889
6,12,1003.6833333333333
6,13,1017.0722222222222
6,14,959.6888888888889
6,15,848.3888888888889
6,16,688.0944444444444
6,17,495.15
6,18,284.6666666666667
6,19,91.02777777777777
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,21.161290322580644
7,7,163.25806451612902
7,8,352.98924731182797
7,9,536.0645161290323
7,10,700.8064516129032
7,11,834.4623655913979
7,12,907.6720430107526
7,13,930.6451612903226
7,14,896.483870967742
7,15,797.3064516129032
7,16,649.1559139784946
7,17,458.3709677419355
7,18,261.97849462365593
7,19,82.62903225806451
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.10215053763440861
8,7,121.95698924731182
8,8,315.60752688172045
