month,hour,WindPower_climatology
5,17,224174.6480072313
5,18,179172.23877992638
5,19,101526.54059929533
5,20,104678.28031339947
5,21,111755.05489566083
5,22,102874.12691668718
5,23,81821.96460534091
6,0,39343.40099667022
6,1,27440.97099928641
6,2,17688.38998985248
6,3,12671.293078999477
6,4,10323.037910060211
6,5,9966.57669470426
6,6,33486.56823775158
6,7,54373.3735516884
6,8,65389.14266703638
6,9,70612.3779025683
6,10,79280.64315038818
6,11,99444.57128991559
6,12,121784.83179213527
6,13,143504.7364583394
6,14,164214.20333502398
6,15,176169.41225653968
6,16,184879.06169042265
6,17,183194.17436328615
6,18,150795.96013223348
6,19,67593.21057348952
6,20,72027.54802310899
6,21,83584.84893475473
6,22,75038.57625356718
6,23,55354.541890399356
7,0,29264.3714455903
7,1,23457.38713137468
7,2,22352.33787436634
7,3,24419.022643209963
7,4,25866.822874634847
7,5,30517.045371003427
7,6,48630.25591630122
7,7,77693.47246794368
7,8,102581.90702105149
7,9,112275.14935639827
7,10,110916.35410666296
7,11,110398.62261004117
7,12,117165.39447697598
7,13,130903.69813979043
7,14,148330.6190815499
7,15,171900.70142459415
7,16,191672.22806849206
7,17,194238.46768691394
7,18,166215.44005674636
7,19,91567.46480093768
7,20,90505.49419742239
7,21,84602.1433594646
7,22,64776.57148502408
7,23,43072.10990011083
8,0,30475.51173250908
8,1,23229.906393625533
8,2,18420.820002096934
8,3,14702.362727588852
8,4,13900.318176795317
8,5,15990.056992972417
8,6,27867.768770004554
8,7,60809.66973984337
8,8,80078.76356504776
8,9,81728.05192894962
8,10,84869.27948218027
8,11,93162.07175165041
8,12,102987.36742776804
8,13,115705.8097193846
8,14,128418.79901688808
8,15,140060.63850411933
8,16,154419.82613552728
8,17,170282.82836566577
8,18,145803.03513250712
8,19,105345.84797048298
8,20,116457.23230816204
8,21,98286.49267497163
8,22,69302.16277149787
8,23,44720.428842837035
9,0,18814.99776006811
9,1,15277.588978436599
9,2,13647.640566989012
9,3,12223.079178809214
9,4,11574.987799032779
9,5,11242.88127108764
9,6,12738.158904590091
9,7,39486.21087323594
9,8,61028.40145148225
9,9,64111.366792056215
9,10,66075.29998497677
9,11,73395.26093784657
9,12,84648.12825685715
9,13,97296.25620901345
9,14,106852.4032036622
9,15,113633.96278278063
9,16,117391.75331167706
9,17,107891.32783835381
9,18,57842.57042603435
9,19,57390.53741033751
9,20,61382.7965879576
9,21,49865.3772595527
9,22,35828.96951652912
9,23,25076.37502465505
10,0,31786.714461402218
10,1,30933.53294359302
10,2,32461.825427008782
10,3,41238.81327930548
10,4,53325.980619101974
10,5,59193.76581767803
10,6,62355.108860303466
10,7,73257.91617315858
10,8,135575.82349584642
10,9,163722.96733090925
10,10,154273.65559888596
10,11,140856.16975638896
10,12,137611.60796471612
10,13,139982.78186594974
10,14,138712.65835937488
10,15,131742.42922320004
10,16,116142.35219254548
10,17,53983.49053148811
10,18,28433.30484835068
10,19,34685.132304543724
10,20,36704.19425813342
10,21,36309.579250819486
10,22,34578.34450316328
10,23,33224.97195312927
11,0,20541.801445100606
11,1,19499.182911804273
11,2,20249.98345532734
11,3,21300.083698509512
11,4,20765.53274449017
11,5,20752.416274020852
11,6,20488.584261812197
11,7,19897.09092167426
11,8,53002.99977778639
11,9,84191.36830311528
11,10,100300.20968451684
11,11,110823.75115867249
11,12,119825.31249500511
11,13,134373.7321497141
11,14,141554.4206034956
11,15,136612.95470136308
11,16,97005.25212910223
11,17,41638.814633026646
11,18,35584.95307903903
11,19,36433.36019755813
11,20,32242.3191882431
11,21,31452.607492468567
11,22,28567.51616105111
11,23,23360.2460805057
12,0,24473.582878752142
12,1,25589.96224575091
12,2,25634.61620865439
12,3,26085.548527391384
12,4,25690.66087037179
12,5,24934.754708656958
12,6,24395.847418229525
12,7,24501.93844813997
12,8,44872.022079179646
12,9,86535.22977253863
12,10,104533.3821420512
12,11,119173.27779263396
12,12,114794.28116456584
12,13,109502.78656050329
12,14,102991.18452364717
12,15,86894.09737400041
12,16,32878.646238127505
12,17,9720.931427676329
12,18,11656.229332807334
12,19,14557.585733887534
12,20,17604.20383925688
12,21,20939.648866147112
12,22,24161.30808254516
12,23,24678.736635049543
