,0
dayofyear,0.2560554789873555
Dew Point,0.19568024175300694
Pressure,0.1548340068620114
cos_hour,0.1417315798522171
Temperature,0.12187751584790991
Relative Humidity,0.07367235351992396
sin_hour,0.04584149843212028
is_clear,0.010307324745455024
