datetime,power_clim_MW
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.2494121290322582
9,7.8455576774193565
10,14.712303483870969
11,20.16606141935484
12,23.378910967741938
13,23.925132387096777
14,21.441899354838714
15,16.986244129032258
16,11.40062141935484
17,4.798397935483871
18,0.050473290322580654
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,1.2494121290322582
33,7.8455576774193565
34,14.712303483870969
35,20.16606141935484
36,23.378910967741938
37,23.925132387096777
38,21.441899354838714
39,16.986244129032258
40,11.40062141935484
41,4.798397935483871
42,0.050473290322580654
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.2494121290322582
57,7.8455576774193565
58,14.712303483870969
59,20.16606141935484
60,23.378910967741938
61,23.925132387096777
62,21.441899354838714
63,16.986244129032258
64,11.40062141935484
65,4.798397935483871
66,0.050473290322580654
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,1.2494121290322582
81,7.8455576774193565
82,14.712303483870969
83,20.16606141935484
84,23.378910967741938
85,23.925132387096777
86,21.441899354838714
87,16.986244129032258
88,11.40062141935484
89,4.798397935483871
90,0.050473290322580654
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,1.2494121290322582
105,7.8455576774193565
106,14.712303483870969
107,20.16606141935484
108,23.378910967741938
109,23.925132387096777
110,21.441899354838714
111,16.986244129032258
112,11.40062141935484
113,4.798397935483871
114,0.050473290322580654
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,1.2494121290322582
129,7.8455576774193565
130,14.712303483870969
131,20.16606141935484
132,23.378910967741938
133,23.925132387096777
134,21.441899354838714
135,16.986244129032258
136,11.40062141935484
137,4.798397935483871
138,0.050473290322580654
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,1.2494121290322582
153,7.8455576774193565
154,14.712303483870969
155,20.16606141935484
156,23.378910967741938
157,23.925132387096777
158,21.441899354838714
159,16.986244129032258
160,11.40062141935484
161,4.798397935483871
162,0.050473290322580654
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,1.2494121290322582
177,7.8455576774193565
178,14.712303483870969
179,20.16606141935484
180,23.378910967741938
181,23.925132387096777
182,21.441899354838714
183,16.986244129032258
184,11.40062141935484
185,4.798397935483871
186,0.050473290322580654
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,1.2494121290322582
201,7.8455576774193565
202,14.712303483870969
203,20.16606141935484
204,23.378910967741938
205,23.925132387096777
206,21.441899354838714
207,16.986244129032258
208,11.40062141935484
209,4.798397935483871
210,0.050473290322580654
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,1.2494121290322582
225,7.8455576774193565
226,14.712303483870969
227,20.16606141935484
228,23.378910967741938
229,23.925132387096777
230,21.441899354838714
231,16.986244129032258
232,11.40062141935484
233,4.798397935483871
234,0.050473290322580654
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,1.2494121290322582
249,7.8455576774193565
250,14.712303483870969
251,20.16606141935484
252,23.378910967741938
253,23.925132387096777
254,21.441899354838714
255,16.986244129032258
256,11.40062141935484
257,4.798397935483871
258,0.050473290322580654
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,1.2494121290322582
273,7.8455576774193565
274,14.712303483870969
275,20.16606141935484
276,23.378910967741938
277,23.925132387096777
278,21.441899354838714
279,16.986244129032258
280,11.40062141935484
281,4.798397935483871
282,0.050473290322580654
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,1.2494121290322582
297,7.8455576774193565
298,14.712303483870969
299,20.16606141935484
300,23.378910967741938
301,23.925132387096777
302,21.441899354838714
303,16.986244129032258
304,11.40062141935484
305,4.798397935483871
306,0.050473290322580654
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,1.2494121290322582
321,7.8455576774193565
322,14.712303483870969
323,20.16606141935484
324,23.378910967741938
325,23.925132387096777
326,21.441899354838714
327,16.986244129032258
328,11.40062141935484
329,4.798397935483871
330,0.050473290322580654
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,1.2494121290322582
345,7.8455576774193565
346,14.712303483870969
347,20.16606141935484
348,23.378910967741938
349,23.925132387096777
350,21.441899354838714
351,16.986244129032258
352,11.40062141935484
353,4.798397935483871
354,0.050473290322580654
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,1.2494121290322582
369,7.8455576774193565
370,14.712303483870969
371,20.16606141935484
372,23.378910967741938
373,23.925132387096777
374,21.441899354838714
375,16.986244129032258
376,11.40062141935484
377,4.798397935483871
378,0.050473290322580654
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,1.2494121290322582
393,7.8455576774193565
394,14.712303483870969
395,20.16606141935484
396,23.378910967741938
397,23.925132387096777
398,21.441899354838714
399,16.986244129032258
400,11.40062141935484
401,4.798397935483871
402,0.050473290322580654
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,1.2494121290322582
417,7.8455576774193565
418,14.712303483870969
419,20.16606141935484
420,23.378910967741938
421,23.925132387096777
422,21.441899354838714
423,16.986244129032258
424,11.40062141935484
425,4.798397935483871
426,0.050473290322580654
427,0.0
428,0.0
429,0.0
