month,hour,GHI_climatology
8,12,888.0193548387097
8,13,913.9935483870968
8,14,864.2129032258065
8,15,756.083870967742
8,16,598.7483870967742
8,17,398.6193548387097
8,18,198.6516129032258
8,19,31.47741935483871
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,73.76
9,8,268.82666666666665
9,9,469.9066666666667
9,10,649.5466666666666
9,11,780.04
9,12,841.5266666666666
9,13,851.3466666666667
9,14,784.54
9,15,658.0666666666667
9,16,487.9866666666667
9,17,288.64666666666665
9,18,91.72666666666667
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,24.864516129032257
10,8,201.68387096774194
10,9,401.3677419354839
10,10,573.7483870967742
10,11,691.2
10,12,758.0193548387097
10,13,747.1032258064516
10,14,677.9096774193548
10,15,536.0516129032258
10,16,358.56774193548387
10,17,162.05806451612904
10,18,9.587096774193549
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,110.85333333333334
11,9,294.26666666666665
11,10,457.98
11,11,570.6733333333333
11,12,621.1466666666666
11,13,622.28
11,14,543.2133333333334
11,15,420.22
11,16,246.86
11,17,75.16666666666667
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,41.23225806451613
12,9,188.39354838709679
12,10,347.0774193548387
12,11,451.4451612903226
12,12,508.5290322580645
12,13,513.5354838709677
12,14,454.9483870967742
12,15,343.1677419354839
12,16,208.03225806451613
12,17,59.909677419354836
12,18,0.0
12,19,0.0
12,20,0.0
12,21,0.0
12,22,0.0
12,23,0.0
