month,hour,clim_power_MW
1,0,0.22557564337251923
1,1,0.2270041460636663
1,2,0.2351580081609008
1,3,0.2514648235230176
1,4,0.2713380788015355
1,5,0.2805510941219935
1,6,0.27634374563083935
1,7,0.27640409209902367
1,8,0.6008445181722029
1,9,1.0375922662670474
1,10,1.3447677859124478
1,11,1.477492208492172
1,12,1.4339465969365786
1,13,1.37585494181797
1,14,1.3068980141626512
1,15,1.1434005281383166
1,16,0.5568839337646068
1,17,0.17817621911076723
1,18,0.14919391893288
1,19,0.17707816786287064
1,20,0.20022249254333313
1,21,0.2088093223731433
1,22,0.21442790574075327
1,23,0.22115072041625458
2,0,0.27440125119151537
2,1,0.25797472520544457
2,2,0.27128794606204093
2,3,0.3146216527194528
2,4,0.32050258440359974
2,5,0.31778551084281453
2,6,0.31143481596250594
2,7,0.36557947018619846
2,8,0.9420384565096499
2,9,1.5431966765382212
2,10,1.8655687226446236
2,11,1.8701588545639025
2,12,1.8737678987362
2,13,1.9131005257509321
2,14,1.9297812154058747
2,15,1.844919323248225
2,16,1.457987507292129
2,17,0.5759852268431881
2,18,0.3293957152294467
2,19,0.36610997690070685
2,20,0.35676266838669507
2,21,0.3359098581295172
2,22,0.31792857781365746
2,23,0.295910451112407
3,0,0.29064095089582903
3,1,0.2655617221375881
3,2,0.2481283181917165
3,3,0.23532105268488082
3,4,0.22270645963670596
3,5,0.21070841845624602
3,6,0.20102390091148015
3,7,0.4278401004447168
3,8,0.9850603021796279
3,9,1.4047992528035365
3,10,1.3389939739790866
3,11,1.26722857258908
3,12,1.2882191463613606
3,13,1.3770720501040017
3,14,1.5309451832852845
3,15,1.659629664293125
3,16,1.6742754976484082
3,17,1.2247953718325473
3,18,0.5273652407324665
3,19,0.49618156683114345
3,20,0.5149316870888446
3,21,0.4854293530390435
3,22,0.4046157985172631
3,23,0.3385266004659941
4,0,0.3752553331976362
4,1,0.3031980148561112
4,2,0.26414010839567054
4,3,0.23473773984572616
4,4,0.20826093899072384
4,5,0.18758099199865164
4,6,0.21343383703171004
4,7,0.6847986519468028
4,8,1.120128609454491
4,9,1.1792774426006778
4,10,1.1025966153750557
4,11,1.100476818443551
4,12,1.1699968040943356
4,13,1.2711313653001384
4,14,1.4180485440720578
4,15,1.6063068342928435
4,16,1.7646965734380786
4,17,1.6999484787000894
4,18,0.8681267144823975
4,19,0.6237112733345468
4,20,0.7189676522996645
4,21,0.7130327468024392
4,22,0.6086538782780223
4,23,0.4860944547310115
5,0,0.5516301557031594
5,1,0.40982886088933296
5,2,0.314497436607455
5,3,0.239331911621495
5,4,0.18564500338093298
5,5,0.15180444898126452
5,6,0.37479937200655056
5,7,0.8851479993098522
5,8,1.024197349761296
5,9,0.9305510824268189
5,10,0.9001081068925176
5,11,0.9969821832089757
5,12,1.168674792319334
5,13,1.3851359377983707
5,14,1.6202443237128428
5,15,1.8371962386620537
5,16,2.0079080358979455
5,17,2.0686925612760456
5,18,1.6544554999457277
5,19,0.9627975448807743
5,20,1.0224411221239549
5,21,1.0778820768042128
5,22,0.9649049453389952
5,23,0.7423269945968867
6,0,0.34030253764761254
6,1,0.24417446122023065
6,2,0.16801221979364142
6,3,0.13124559481179596
6,4,0.12147153910369388
6,5,0.1274819503927378
6,6,0.39048909626042355
