datetime,GHI,GHI_climatology,power_true_MW,power_clim_MW
0,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
2,0,0.0,0.0,0.0
3,0,0.0,0.0,0.0
4,0,0.0,0.0,0.0
5,0,0.0,0.0,0.0
6,0,0.0,0.0,0.0
7,0,0.0,0.0,0.0
8,5,30.503225806451614,0.2048,1.2494121290322582
9,14,191.54193548387096,0.57344,7.8455576774193565
10,27,359.18709677419355,1.10592,14.712303483870969
11,41,492.3354838709677,1.67936,20.16606141935484
12,37,570.7741935483871,1.51552,23.378910967741938
13,26,584.1096774193549,1.06496,23.925132387096777
14,23,523.483870967742,0.94208,21.441899354838714
15,17,414.7032258064516,0.69632,16.986244129032258
16,10,278.3354838709677,0.4096,11.40062141935484
17,4,117.14838709677419,0.16384,4.798397935483871
18,0,1.232258064516129,0.0,0.050473290322580654
19,0,0.0,0.0,0.0
20,0,0.0,0.0,0.0
21,0,0.0,0.0,0.0
22,0,0.0,0.0,0.0
23,0,0.0,0.0,0.0
24,0,0.0,0.0,0.0
25,0,0.0,0.0,0.0
26,0,0.0,0.0,0.0
27,0,0.0,0.0,0.0
28,0,0.0,0.0,0.0
29,0,0.0,0.0,0.0
30,0,0.0,0.0,0.0
31,0,0.0,0.0,0.0
32,12,30.503225806451614,0.49152,1.2494121290322582
33,59,191.54193548387096,2.41664,7.8455576774193565
34,56,359.18709677419355,2.29376,14.712303483870969
35,63,492.3354838709677,2.58048,20.16606141935484
36,107,570.7741935483871,4.38272,23.378910967741938
37,162,584.1096774193549,6.63552,23.925132387096777
38,290,523.483870967742,11.8784,21.441899354838714
39,302,414.7032258064516,12.36992,16.986244129032258
40,212,278.3354838709677,8.68352,11.40062141935484
41,81,117.14838709677419,3.31776,4.798397935483871
42,0,1.232258064516129,0.0,0.050473290322580654
43,0,0.0,0.0,0.0
44,0,0.0,0.0,0.0
45,0,0.0,0.0,0.0
46,0,0.0,0.0,0.0
47,0,0.0,0.0,0.0
48,0,0.0,0.0,0.0
49,0,0.0,0.0,0.0
50,0,0.0,0.0,0.0
51,0,0.0,0.0,0.0
52,0,0.0,0.0,0.0
53,0,0.0,0.0,0.0
54,0,0.0,0.0,0.0
55,0,0.0,0.0,0.0
56,13,30.503225806451614,0.53248,1.2494121290322582
57,79,191.54193548387096,3.23584,7.8455576774193565
58,372,359.18709677419355,15.23712,14.712303483870969
59,503,492.3354838709677,20.60288,20.16606141935484
60,283,570.7741935483871,11.59168,23.378910967741938
61,591,584.1096774193549,24.20736,23.925132387096777
62,219,523.483870967742,8.97024,21.441899354838714
63,157,414.7032258064516,6.43072,16.986244129032258
64,88,278.3354838709677,3.60448,11.40062141935484
65,24,117.14838709677419,0.98304,4.798397935483871
66,0,1.232258064516129,0.0,0.050473290322580654
67,0,0.0,0.0,0.0
68,0,0.0,0.0,0.0
69,0,0.0,0.0,0.0
70,0,0.0,0.0,0.0
71,0,0.0,0.0,0.0
72,0,0.0,0.0,0.0
